omega_x,omega_y,omega_z
1.3958159140881e-08,-1.87362882743569e-07,0.262516143149709
1.78107361516847e-08,-1.8758586843822e-07,0.262516143144419
2.1508220544257e-08,-1.88837609526971e-07,0.262516143139129
2.48039774411913e-08,-1.91052324285452e-07,0.262516143140845
2.74476298018886e-08,-1.94091526073076e-07,0.262516143142562
2.92436836104961e-08,-1.97764551476995e-07,0.262516143144278
3.00510124643485e-08,-2.01832234442947e-07,0.262516143145286
2.97932196646161e-08,-2.06031894302241e-07,0.262516143146295
2.84695283889321e-08,-2.10090129514745e-07,0.262516143144368
2.61430697384057e-08,-2.13725796581189e-07,0.262516143135826
2.29491181540003e-08,-2.16695444231074e-07,0.262516143127283
1.90830377581257e-08,-2.18793828246398e-07,0.262516143118741
1.47855235124666e-08,-2.19877676424011e-07,0.262516143111348
1.03349667645658e-08,-2.19859393723531e-07,0.262516143103955
6.01957986300236e-09,-2.1872976979378e-07,0.262516143096562
2.12982151927116e-09,-2.16549324284618e-07,0.262516143102837
-1.08568217675833e-09,-2.13457105531343e-07,0.262516143109113
-3.41145831496412e-09,-2.09652012346683e-07,0.262516143115388
-4.69798675953115e-09,-2.05384824730425e-07,0.26251614312347
-4.84633640279143e-09,-2.00938366203921e-07,0.262516143131551
-3.8420126340164e-09,-1.96610282800064e-07,0.262516143139632
-1.74863140522924e-09,-1.92701660147893e-07,0.262516143125978
1.30102641735817e-09,-1.89473305834733e-07,0.262516143112323
5.10570821374015e-09,-1.87151258508662e-07,0.262516143098669
9.40065979247604e-09,-1.85906381780228e-07,0.262516143085807
1.39082206598484e-08,-1.85836626478399e-07,0.262516143072945
1.83219123216506e-08,-1.8696282082139e-07,0.262516143060083
2.23499061981449e-08,-1.89215577269988e-07,0.262516143063955
2.56986430189713e-08,-1.92468309807132e-07,0.262516143067826
2.81312221865101e-08,-1.9651861549268e-07,0.262516143071698
2.94664551847364e-08,-2.01107757476254e-07,0.262516143073925
2.95999093111567e-08,-2.05942240365523e-07,0.262516143076151
2.85031650531476e-08,-2.10707087890472e-07,0.262516143090645
