omega_x,omega_y,omega_z
3.61145881564236e-08,-2.12153648089384e-07,0.262516142217476
2.97958599656727e-08,-2.12021742996305e-07,0.262516142213455
2.37157941206621e-08,-2.10336334898091e-07,0.262516142209435
1.82593700547302e-08,-2.07208140438397e-07,0.262516142205415
1.37680553612917e-08,-2.02841208410931e-07,0.262516142206263
1.0526149942357e-08,-1.97522080391867e-07,0.262516142207112
8.73374186209556e-09,-1.91597934392879e-07,0.26251614220796
8.49429125695995e-09,-1.85452450969379e-07,0.262516142196786
9.81359617726369e-09,-1.79489720181529e-07,0.262516142185612
1.25944160900287e-08,-1.74098412222489e-07,0.262516142174438
1.66362245158873e-08,-1.69627834066759e-07,0.262516142164947
2.16714524930445e-08,-1.66373219261563e-07,0.262516142155456
2.73603379641172e-08,-1.6454645872162e-07,0.262516142145966
3.3331778637731e-08,-1.64283818979961e-07,0.262516142146475
3.91794616843377e-08,-1.65583267453579e-07,0.262516142146984
4.45122040101306e-08,-1.68361262107797e-07,0.262516142147493
4.89710909355136e-08,-1.72436309285404e-07,0.262516142149786
5.22576908313276e-08,-1.77546356216182e-07,0.262516142152079
5.41493161917562e-08,-1.83371779009863e-07,0.262516142134542
5.45268065408293e-08,-1.89503053963786e-07,0.262516142130273
5.33429470825187e-08,-1.95561022148347e-07,0.262516142126004
5.06674648113102e-08,-2.01153284376534e-07,0.262516142121734
4.66609592383408e-08,-2.05917350607949e-07,0.262516142117133
4.15819993872373e-08,-2.09548300786872e-07,0.262516142112532
3.57525902824903e-08,-2.11813009653042e-07,0.26251614210793
2.95339548474141e-08,-2.12576677935152e-07,0.262516142111031
2.33316074541726e-08,-2.11787363386873e-07,0.262516142114132
1.7537904239642e-08,-2.09501046316308e-07,0.262516142117233
1.25167964864653e-08,-2.05870884457807e-07,0.262516142122471
8.58303693161451e-09,-2.01137922153476e-07,0.26251614212771
5.97893021922553e-09,-1.95613982169039e-07,0.262516142132948
4.86383781012448e-09,-1.89660645633218e-07,0.262516142122438
5.29144845727088e-09,-1.83667300466234e-07,0.262516142111929
7.21934070193655e-09,-1.78024904966102e-07,0.26251614210142
1.05051865921468e-08,-1.73097216547302e-07,0.262516142087137
1.49225699802547e-08,-1.6920692755222e-07,0.262516142072855
2.01705772743701e-08,-1.66604346418504e-07,0.262516142058572
2.58899462225881e-08,-1.65453228950817e-07,0.262516142060549
3.17018345949377e-08,-1.65827072176903e-07,0.262516142062525
3.72179818666317e-08,-1.67696638042359e-07,0.262516142064502
4.20694145786723e-08,-1.7093454589767e-07,0.262516142070554
4.59346792729759e-08,-1.75326950977676e-07,0.262516142076606
4.85542016736564e-08,-1.80588442198898e-07,0.262516142067361
4.9780226631571e-08,-1.863556646004e-07,0.262516142059549
4.95033281407165e-08,-1.9226140926558e-07,0.262516142051737
4.77400523478174e-08,-1.97921480589537e-07,0.262516142043925
4.46026212623035e-08,-2.02976654762957e-07,0.262516142027368
4.02960545048645e-08,-2.07094782890608e-07,0.262516142010812
3.50976356019733e-08,-2.10013372824498e-07,0.262516141994255
2.93318304657893e-08,-2.11558491009856e-07,0.262516141993717
2.33791293908116e-08,-2.1163149242123e-07,0.262516141993179
1.76183799669833e-08,-2.10236918424374e-07,0.262516141992641
1.24134165068111e-08,-2.07475244198259e-07,0.262516142001092
8.09067030858312e-09,-2.03535416203759e-07,0.262516142009543
4.91662068617702e-09,-1.98682244355331e-07,0.262516142017994
3.08690442023455e-09,-1.93235472306202e-07,0.262516142006606
2.69630720379001e-09,-1.87556098556789e-07,0.262516141995218
3.75149128462725e-09,-1.82016306872528e-07,0.26251614198383
6.15503109085072e-09,-1.76979560334008e-07,0.262516141966929
9.74123873850549e-09,-1.72770655282924e-07,0.262516141950028
1.42580318343765e-08,-1.69658494338322e-07,0.262516141933128
1.93892704277578e-08,-1.67840384064151e-07,0.262516141933268
2.47912321754266e-08,-1.67425014990641e-07,0.262516141933409
3.00996107592422e-08,-1.6842926381821e-07,0.26251614193355
3.49584135922601e-08,-1.7077356345165e-07,0.26251614193835
3.9044400672514e-08,-1.74298256394505e-07,0.26251614194315
4.20794660829528e-08,-1.78764606575291e-07,0.262516141945175
4.38948636107148e-08,-1.83862030241313e-07,0.262516141946709
4.43489957477441e-08,-1.89259917908714e-07,0.262516141948244
